element,total_cifs,parsed,failed,parse_rate_pct,mononuclear,ligdiff_compatible,avg_cn,cn_7,cn_8,cn_9,cn_10,avg_donor_dist,training_candidates,training_candidates_ON,total_ligands,unique_ligands
La,4168,4165,3,99.9,2602,2870,7.02,408,537,581,379,2.607,768,580,17312,6536
Ce,3436,3434,2,99.9,2123,2182,7.29,329,502,466,246,2.55,535,389,13912,5390
Pr,2368,2367,1,100.0,1287,1729,7.17,211,359,350,209,2.562,381,287,10463,3803
Nd,4313,4312,1,100.0,2647,2970,7.17,450,611,579,306,2.55,747,510,18070,6740
Sm,4503,4501,2,100.0,2818,2871,7.12,479,657,471,274,2.552,737,385,17052,6946
Eu,6348,6344,4,99.9,3538,4872,7.1,601,1203,891,375,2.498,1258,989,26934,9882
Gd,5057,5055,2,100.0,2770,3294,7.21,474,977,682,301,2.471,741,568,21297,7537
Tb,4921,4916,5,99.9,2629,3572,7.25,518,1023,637,320,2.455,830,636,21031,7636
Dy,6509,6506,3,100.0,3674,4388,7.26,739,1615,768,371,2.44,1124,840,26048,10128
Ho,1858,1858,0,100.0,1041,1297,6.98,226,396,192,93,2.43,310,223,7716,3060
Er,3141,3140,1,100.0,1945,2255,7.05,361,629,331,149,2.422,589,410,12801,4968
Tm,822,821,1,99.9,539,541,7.11,80,162,83,34,2.444,159,99,3221,1377
Yb,4195,4193,2,100.0,3069,2737,6.76,465,725,332,189,2.444,808,462,14751,6596
Lu,1721,1721,0,100.0,1297,1018,6.83,180,262,166,90,2.434,319,185,5901,2854
